Transactions for CHECKING-5550,,,,,
Date,Check Number,Description,Debit,Credit,Running Balance
12/31/2018,0,MOBILE CHECK DEPOSIT,0,25.00,183.97
12/28/2018,0, ZOES AP          PAYROLL       ,0,184.91,193.97
12/28/2018,00000000504,CHECK,35.00,0,158.97
12/24/2018,0, BP#9785106INWOOD BP2       INWO,2.77,0,101.06
12/24/2018,0, VENMO            PAYMENT    160,42.00,0,59.06
12/24/2018,0, ALLY BANK        $TRANSFER  145,50.00,0,9.06
12/21/2018,0, KROGER 38 3455             DULU,19.22,0,103.83
12/20/2018,0, BOJANGLES 200301020031     DULU,1.58,0,123.05
12/19/2018,0, THE HOME DEPOT             DULU,5.18,0,124.63
12/19/2018,0, KROGER FU 3455             DULU,18.28,0,129.81
12/18/2018,0, ZAXBY S #17501             NORC,4.79,0,228.65
12/18/2018,0, MICRO ELECTRON             DULU,5.29,0,233.44
12/18/2018,0, UPSCALE NAILS              BERK,40.00,0,515.90
12/18/2018,0, THE HOME DEPOT             DULU,80.56,0,148.09
12/18/2018,0, DICK S SPORTIN             NORC,127.17,0,388.73
12/18/2018,0, KROGER 38 3455             DULU,150.00,0,238.73
12/17/2018,0, DUNKIN #353523 Q35         JOHN,6.56,0,555.90
12/17/2018,0, BURGER 21 JOHNS CREEK      JOHN,10.69,0,579.46
12/17/2018,0, IHOP                       DULU,17.00,0,562.46
12/14/2018,0, VENMO            CASHOUT       ,0,50.00,596.71
12/14/2018,0, ZOES AP          PAYROLL       ,0,104.54,546.71
12/14/2018,0, CI CI S NORCROSS #         PEAC,6.56,0,590.15
12/12/2018,0, THAI STAR                  NORC,6.30,0,442.17
12/12/2018,0, CHICK-FIL-A #00821         DULU,8.02,0,448.47
12/10/2018,0, MARTA                      ATLA,5.00,0,456.49
12/10/2018,0, KURA REVOLVING SUSHI B     DORA,22.44,0,461.49
12/07/2018,0, 26312 - CITY OF ATLANT     ATLA,4.00,0,524.17
12/07/2018,0, EPC*FORTNITE               919-,4.99,0,505.48
12/07/2018,0, TACO MAC 21                DULU,13.70,0,510.47
12/07/2018,0, RACETRAC490                NORC,21.55,0,483.93
12/06/2018,0, DUNKIN #310092 Q35         ATLA,2.44,0,528.17
12/05/2018,0, BIRD APP                   8662,1.75,0,530.61
12/05/2018,0, BIRD APP                   8662,1.75,0,532.36
12/05/2018,0, GSU PANTHER DINING RET     ATLA,4.78,0,534.11
12/03/2018,0, 26312 - CITY OF ATLANT     ATLA,5.50,0,538.89
11/30/2018,0, ALLY BANK        P2P           ,0,500.00,553.53
11/30/2018,0, QT 831        07008311     DULU,1.16,0,546.83
11/30/2018,0, FELLINI S PIZZA-PONCE      ATLA,2.00,0,547.99
11/30/2018,0, DUNKIN #310092 Q35         ATLA,2.44,0,544.39
11/30/2018,0, FELLINI S PIZZA-PONCE      ATLA,3.54,0,549.99
11/29/2018,0, TJ S SANDWICHES            ATLA,7.07,0,74.36
11/29/2018,0, QUIKTRIP                   DULU,20.83,0,53.53
11/28/2018,0, SUBWAY        00528034     ATLA,1.41,0,111.63
11/28/2018,0, DUNKIN #302564 Q35         DULU,2.64,0,113.04
11/28/2018,0, BIRD APP                   8662,5.20,0,106.43
11/28/2018,0, SQC*CULTUREDFRIEDCH        4153,25.00,0,81.43
11/27/2018,0, ARBYS #8080 ATLANTA        ATLA,3.35,0,115.68
11/27/2018,0, DUNKIN #310092 Q35         ATLA,3.51,0,119.03
11/23/2018,0, VENMO            CASHOUT       ,0,10.00,172.54
11/23/2018,0, ALLY BANK        $TRANSFER  142,50.00,0,122.54
11/20/2018,0, CYCLONE PODS               805-,16.65,0,162.54
11/19/2018,0, SQUARE INC       ANTHO         ,0,11.00,195.32
11/19/2018,0, QUIKTRIP                   DULU,16.13,0,179.19
11/16/2018,0, VENMO            PAYMENT    150,311.40,0,184.32
11/15/2018,0, WALGREENS 25 P             ATLA,4.70,0,495.72
11/14/2018,0, KROGER FU 3455             DULU,22.57,0,500.42
11/09/2018,0, ALLY BANK        P2P           ,0,500.00,526.06
11/09/2018,0, LYFT   *RIDE WED 8PM       8552,3.07,0,522.99
11/08/2018,0, LYFT   *RIDE WED 6PM       8552,9.28,0,26.06
11/07/2018,0, MOBILE APP TRANSFER FROM 100002,0,15.00,45.96
11/07/2018,0, SQU*SQ *DUA TAKE OUT O     ATLA,10.62,0,35.34
11/06/2018,0, BOJANGLES 200301020031     DULU,1.05,0,35.95
11/06/2018,0, WILLYS GEORGIA STATE       ATLA,1.09,0,30.96
11/06/2018,0, DUNKIN #310092 Q35         ATLA,3.90,0,32.05
11/05/2018,0, RACETRAC 2409              DULU,22.12,0,37.00
11/02/2018,0, KURA REVOLVING SUSHI B     DORA,33.00,0,59.12
